Job Name,Company,Location
Data Engineer,MODE Recruitment,"Frankfurt am Main, Hesse, Germany"
"Working Student Startups, Venture Capital and M&A (m/f/d)",nugrow,"Bochum, North Rhine-Westphalia, Germany"
Process Engineer,Hamlyn Williams,"Bavaria, Germany"
Internship Artificial Intelligence & Computer Vision (6 months) (m/f/d),Korro AI,"Darmstadt, Hesse, Germany"
Internship | Junior Consultant (m/f/d),Trustventure,"Cologne, North Rhine-Westphalia, Germany"
Office Administrator,Stack Digital,"Bonn, North Rhine-Westphalia, Germany"
Business Analyst (all genders),valantic,"Langenfeld, North Rhine-Westphalia, Germany"
Working Student / Mini-job (Sales or Software Development) (m/f/d) - Fully Remote,CONROO,"Hamburg, Hamburg, Germany"
(Junior) E-Commerce Manager UK (m/w/d),Carhartt WIP (Work In Progress),"Berlin, Berlin, Germany"
Junior Digital Analyst (m/w/d),Peak Ace AG,"Berlin, Berlin, Germany"
Data Engineer / Scientist (m/w/d),taod Consulting GmbH,"Stuttgart, Baden-Württemberg, Germany"
Student Assistant/Intern (m/f/d) for data analysis of 5G mobile network data in Dresden,Fraunhofer IIS,"Dresden, Saxony, Germany"
Head of Data,SO Digital Recruitment,"Munich, Bavaria, Germany"
Social Media-Manager,deutz werbung,"Bocholt, North Rhine-Westphalia, Germany"
Management Trainee (m/w/d),jobvalley,"Dresden, Saxony, Germany"
Data Science Consultant (m/w/d),Convalid Analytics GmbH,"Munich, Bavaria, Germany"
Group Strategy Manager - Cleantech,KellerGreen,"Bavaria, Germany"
Data Scientist (m/w/d),Arete AG,Germany
(Junior) Business Analyst Marktfolge C24 Bank,CHECK24 Vergleichsportal GmbH,"Frankfurt, Hesse, Germany"
AI Engineer (m/w/d),Web Computing GmbH,"Münster, North Rhine-Westphalia, Germany"
Business Analyst (gn),powercloud GmbH,"Leipzig, Saxony, Germany"
Global Business Intelligence Manager OE (m/f/d) - limited until 30.09.2024 - REF48043F,Continental,"Hannover, Lower Saxony, Germany"
Junior Data Manager Investmentfonds (m|w|d),DZ PRIVATBANK S.A.,"Strassen, North Rhine-Westphalia, Germany"
Business-Performance-Analyst (gn),Manpower Professional Deutschland,"Bad Säckingen, Baden-Württemberg, Germany"
"CRM / Marketing Analytics Data Scientist, Consumer",Wolt,"Berlin, Berlin, Germany"
Business Controller (m/w/d),Rolls-Royce Power Systems AG,"Ruhstorf, Bavaria, Germany"
Business Architect (m/w/d)*,XL2 by Audi & Capgemini,Germany
Market Risk Analyst (f/m/d),Uniper,"Düsseldorf, North Rhine-Westphalia, Germany"
Application Scientist - CMC & Manufacturing,Invenex Search,Germany
(Junior) Data Engineer (m/w/d) - 50% remote,CRIF Deutschland,"Karlsruhe, Baden-Württemberg, Germany"
Trainee Program Economics (m/w/d),PIVOT Regulatory,"Munich, Bavaria, Germany"
(Junior) Business Development & Investor Relations Manager (m/w/d),Catella,"Berlin, Germany"
Data Engineer (m/f/d),DEHN digital solutions GmbH,Germany
(Senior) Data Scientist (M/W/D),CBTW,"Frankfurt, Hesse, Germany"
Business Analyst (M/W/D),CBTW,"Frankfurt, Hesse, Germany"
(Junior) Portfolio Analyst (m/w/d),OPUS ONE Recruitment GmbH,"Munich, Bavaria, Germany"
Wissenschaftliche/r Mitarbeiter/in (w/m/d),RWTH Aachen University,"Aachen, North Rhine-Westphalia, Germany"
Banking Operations Team Lead,Holvi,"Berlin, Berlin, Germany"
Project Assistant,Faststream Recruitment Group,"Hamburg, Hamburg, Germany"
Werkstudent (m/w/d) Data Science (Statistik),The NPD Group,Germany
"(Senior) Analyst, Product Operations (all genders)",Delivery Hero,"Berlin, Berlin, Germany"
Research Specialist (m/w/d),hep global GmbH,"Güglingen, Baden-Württemberg, Germany"
Data Analyst (m/w/d) Pricing,DocMorris,"Berlin, Berlin, Germany"
Intern Strategy & Corporate Development (f/m/x),Mercedes pay GmbH,"Stuttgart, Baden-Württemberg, Germany"
"Research Consultant (-in) (m,w,d)",Rogator AG,"Nuremberg, Bavaria, Germany"
Trainee Machine Learning in der Unternehmensberatung,niologic GmbH,"Hürth, North Rhine-Westphalia, Germany"
Business Analyst* (m/w/d) Regulatorik & Prozesse,InterJob® GmbH,Germany
Senior Python Developer (m/f/d),onu.energy,"Berlin, Berlin, Germany"
Head of Data Analytics (m/w/d),logistik-consultants.de,"Hamburg, Hamburg, Germany"
"Werkstudent:in AI, Machine Learning, Python, JS-Fullstack (Homeoffice, Flexibel)",Inbox Marketing,"Cologne, North Rhine-Westphalia, Germany"
Consultant - Digital Analytics (m/w/d) for Munich,Digitl,"Munich, Bavaria, Germany"
Junior Business Consultant m/w/d,m3connect,"Eutin, Schleswig-Holstein, Germany"
Senior Data Analyst/BI Expert (all genders),Primal State Performance GmbH,Germany
Wissenschaftliche/r Mitarbeiter/in (w/m/d),RWTH Aachen University,"Aachen, North Rhine-Westphalia, Germany"
Data Engineer (m/w/d),Tenhil GmbH & Co. KG,"Munich, Bavaria, Germany"
Data Analyst (all gender),Havas Media Germany,"Frankfurt am Main, Hesse, Germany"
Data Analyst (m/w/d) at KDW Care GmbH,join.com,"Stralsund, Mecklenburg-West Pomerania, Germany"
Working student - Data Labeling (m/d/f),Caresyntax,"Berlin, Berlin, Germany"
Trainee Business Development (m/w/d),Lionment,"Hamburg, Hamburg, Germany"
Senior Data Scientist,Preventio,"Frankfurt, Hesse, Germany"
Process Engineer for Data Analysis of Electrolyzer Systems (w/m/d),Sunfire,"Dresden, Saxony, Germany"
BI Operations Analyst (m/w/d),univativ GmbH,"Offenbach, Hesse, Germany"
Biostatistician,Pirche,"Berlin, Berlin, Germany"
Head of Data Analytics (m/w/d),logistik-consultants.de,Germany
Research Analyst (m/w/d),KnowledgeAgent GmbH,"Bad Dürkheim, Rhineland-Palatinate, Germany"
Product Support Engineer,Cognigy,"Düsseldorf, North Rhine-Westphalia, Germany"
Data Generalist (m/f/d),onu.energy,"Göhl, Schleswig-Holstein, Germany"
Research Assistant (Praedoc) (m/f/d) full-time job limited to 31.08.2025 Entgeltgruppe 13 TV-L FU reference code: AGSI_2024.1_WiMi-SiTel,Freie Universität Berlin,"Berlin, Berlin, Germany"
Data Analyst (VA 831465),World Food Programme,"Berlin, Berlin, Germany"
BI Spezialist (m/w/d),Akkodis,"Munich, Bavaria, Germany"
AI Strategy Consultant,Bloom Partners,"Nuremberg, Bavaria, Germany"
